qb_orientation,result_0.0,result_1.0,result_2.0,result_3.0,result_4.0
300.4,0,0,0,1,0
333.6,0,0,0,0,0
138.56,1,0,0,0,0
73.86,0,0,0,1,0
344.31,0,0,0,0,1
230.31,0,1,0,0,0
290.9,0,1,0,0,0
129.51,0,0,0,0,0
101.62,0,1,0,0,0
72.72,0,0,0,1,0
129.5,1,0,0,0,0
104.61,0,1,0,0,0
31.93,0,0,0,1,0
105.14,0,1,0,0,0
245.25,1,0,0,0,0
171.84,0,1,0,0,0
107.16,0,0,1,0,0
155.55,1,0,0,0,0
37.05,0,0,0,1,0
132.73,0,0,0,1,0
169.66,1,0,0,0,0
38.3,0,0,0,0,1
300.69,0,0,0,0,1
338.07,0,0,0,1,0
240.59,0,1,0,0,0
240.15,1,0,0,0,0
336.64,0,0,0,1,0
338.82,0,0,0,1,0
48.82,0,0,0,0,1
96.75,1,0,0,0,0
201.1,0,1,0,0,0
325.26,0,0,1,0,0
318.76,0,0,1,0,0
332.74,0,0,0,1,0
127.67,0,1,0,0,0
321.42,0,0,0,1,0
313.93,0,0,0,1,0
232.27,1,0,0,0,0
121.49,0,0,1,0,0
159.22,1,0,0,0,0
83.07,0,1,0,0,0
214.7,0,1,0,0,0
69.53,0,0,0,1,0
139.42,0,1,0,0,0
153.6,1,0,0,0,0
15.97,0,0,0,0,1
133.21,1,0,0,0,0
67.81,0,0,0,1,0
42.46,0,0,0,1,0
111.63,1,0,0,0,0
193.5,0,1,0,0,0
209.81,1,0,0,0,0
266.02,0,1,0,0,0
36.21,0,0,0,1,0
30.86,0,0,0,1,0
51.4,1,0,0,0,0
93.05,0,0,1,0,0
151.49,0,1,0,0,0
329.84,0,0,0,1,0
325.49,0,0,0,0,1
185.65,0,0,1,0,0
311.98,0,0,0,0,1
224.25,0,0,0,1,0
145.47,0,1,0,0,0
152.58,0,1,0,0,0
78.68,0,0,1,0,0
51.03,0,0,0,1,0
88.31,0,0,0,1,0
121.28,0,0,1,0,0
325.44,0,0,1,0,0
348.28,0,0,1,0,0
63.91,0,0,1,0,0
138.24,0,1,0,0,0
148.49,0,1,0,0,0
69.11,0,0,0,1,0
62.15,0,0,0,0,1
17.18,0,0,0,0,1
31.87,0,0,0,0,1
43.29,0,0,1,0,0
338.82,0,0,1,0,0
168.39,0,1,0,0,0
99.57,0,0,1,0,0
25.1,0,0,0,0,1
171.24,1,0,0,0,0
134.02,0,1,0,0,0
118.56,1,0,0,0,0
35.05,0,0,0,1,0
88.23,0,0,1,0,0
128.25,0,1,0,0,0
44.98,0,0,1,0,0
281.41,0,0,1,0,0
136.7,1,0,0,0,0
345.57,0,0,0,0,1
328.53,0,0,0,1,0
311.51,0,0,0,0,1
171.02,1,0,0,0,0
41.67,0,0,0,1,0
97.13,0,0,0,0,1
0.86,0,0,0,0,1
343.6,0,0,0,0,1
130.0,0,0,1,0,0
89.56,0,0,0,1,0
119.2,0,1,0,0,0
85.0,0,0,0,1,0
104.45,0,0,1,0,0
191.11,0,1,0,0,0
332.56,0,0,0,0,1
236.16,1,0,0,0,0
184.42,1,0,0,0,0
47.9,0,0,0,0,1
162.38,1,0,0,0,0
165.55,1,0,0,0,0
0.03,0,0,1,0,0
228.03,1,0,0,0,0
66.87,0,0,1,0,0
86.18,0,0,0,1,0
165.2,0,0,1,0,0
25.29,0,0,0,0,1
138.04,0,0,1,0,0
246.35,1,0,0,0,0
249.24,1,0,0,0,0
149.5,1,0,0,0,0
317.27,0,0,0,1,0
255.75,0,0,1,0,0
187.54,0,0,0,0,0
162.82,1,0,0,0,0
116.95,0,1,0,0,0
125.84,0,1,0,0,0
280.0,1,0,0,0,0
184.43,0,0,0,0,0
229.05,1,0,0,0,0
247.42,0,0,0,0,0
82.4,0,0,0,1,0
151.16,0,1,0,0,0
78.88,0,0,1,0,0
116.37,1,0,0,0,0
136.2,0,1,0,0,0
113.33,0,0,1,0,0
258.9,0,0,1,0,0
293.56,0,0,0,1,0
208.03,0,1,0,0,0
337.79,0,0,0,0,1
249.82,1,0,0,0,0
348.59,0,0,0,1,0
349.05,0,0,1,0,0
173.04,1,0,0,0,0
56.55,0,0,1,0,0
64.49,0,0,0,1,0
136.44,0,1,0,0,0
52.29,0,0,1,0,0
167.8,0,1,0,0,0
92.35,0,0,1,0,0
63.56,0,0,0,0,1
14.2,0,0,0,1,0
355.1,0,0,1,0,0
120.72,0,1,0,0,0
66.75,0,0,1,0,0
103.91,0,0,1,0,0
188.44,1,0,0,0,0
126.23,0,0,1,0,0
151.53,1,0,0,0,0
179.33,1,0,0,0,0
233.64,0,1,0,0,0
322.71,0,0,1,0,0
44.55,1,0,0,0,0
333.33,0,0,0,0,1
311.68,0,0,0,1,0
322.47,0,0,0,1,0
323.01,0,0,0,0,1
243.33,1,0,0,0,0
251.52,0,1,0,0,0
315.79,0,1,0,0,0
334.14,0,0,0,0,1
343.61,0,0,1,0,0
155.56,1,0,0,0,0
134.05,0,1,0,0,0
276.28,1,0,0,0,0
325.48,0,0,0,1,0
319.25,0,0,0,1,0
260.46,0,0,1,0,0
61.81,0,0,0,1,0
129.73,0,0,1,0,0
10.23,1,0,0,0,0
10.72,0,0,1,0,0
257.74,1,0,0,0,0
88.38,0,0,0,0,1
146.71,0,1,0,0,0
330.61,0,0,1,0,0
340.18,0,0,0,0,1
322.43,0,0,0,0,1
337.77,0,0,1,0,0
220.84,1,0,0,0,0
238.14,0,1,0,0,0
324.04,0,0,1,0,0
252.47,1,0,0,0,0
136.85,0,1,0,0,0
178.86,1,0,0,0,0
146.59,0,1,0,0,0
282.57,0,0,0,1,0
106.67,0,0,1,0,0
79.32,0,0,1,0,0
55.79,0,0,0,1,0
96.33,0,0,0,1,0
53.41,0,0,0,1,0
72.21,0,0,0,0,1
329.49,0,0,0,1,0
223.26,1,0,0,0,0
228.25,1,0,0,0,0
115.17,1,0,0,0,0
119.25,0,0,1,0,0
327.74,0,0,1,0,0
320.13,0,0,0,0,1
151.45,0,0,1,0,0
49.79,0,0,1,0,0
71.82,0,0,1,0,0
328.37,0,0,1,0,0
350.69,0,0,0,0,0
6.74,0,0,0,1,0
55.33,0,0,0,1,0
127.77,1,0,0,0,0
104.06,0,0,0,1,0
56.62,0,0,0,0,1
159.5,1,0,0,0,0
65.96,0,0,0,0,1
254.61,0,1,0,0,0
115.72,0,0,0,0,1
96.69,0,0,0,0,1
92.32,0,0,0,1,0
61.6,0,0,0,1,0
145.72,1,0,0,0,0
47.05,0,0,0,0,1
160.93,0,1,0,0,0
155.5,0,0,1,0,0
54.58,0,0,0,0,1
152.6,1,0,0,0,0
202.96,1,0,0,0,0
168.66,0,1,0,0,0
117.77,1,0,0,0,0
176.72,1,0,0,0,0
240.2,1,0,0,0,0
74.08,0,0,0,1,0
80.86,0,0,0,0,1
146.59,0,1,0,0,0
68.5,0,0,0,1,0
49.94,0,0,0,0,1
186.2,1,0,0,0,0
215.37,1,0,0,0,0
87.82,1,0,0,0,0
56.08,0,0,1,0,0
108.23,0,0,1,0,0
110.59,0,1,0,0,0
146.92,0,0,1,0,0
256.6,0,1,0,0,0
228.02,1,0,0,0,0
344.95,0,0,1,0,0
344.29,0,0,0,0,0
202.73,0,1,0,0,0
43.32,0,0,0,1,0
136.86,1,0,0,0,0
125.19,0,0,1,0,0
24.44,0,0,0,1,0
146.14,1,0,0,0,0
231.79,1,0,0,0,0
224.89,1,0,0,0,0
326.91,0,0,1,0,0
234.7,1,0,0,0,0
35.43,0,0,0,0,1
54.6,0,0,0,1,0
151.29,1,0,0,0,0
232.7,0,1,0,0,0
62.42,0,0,0,1,0
135.61,0,1,0,0,0
59.58,0,0,0,0,0
74.09,0,0,0,1,0
74.62,0,0,1,0,0
148.98,1,0,0,0,0
233.85,1,0,0,0,0
330.65,0,0,0,0,0
245.29,1,0,0,0,0
347.34,0,0,1,0,0
331.28,0,0,0,0,1
114.4,0,1,0,0,0
103.99,1,0,0,0,0
53.97,0,0,1,0,0
80.0,0,0,0,1,0
101.62,0,1,0,0,0
91.79,0,0,1,0,0
83.18,0,0,1,0,0
279.4,0,1,0,0,0
355.89,0,0,0,0,1
100.39,0,0,0,1,0
27.47,0,0,0,1,0
112.46,1,0,0,0,0
129.49,0,1,0,0,0
145.81,1,0,0,0,0
149.84,1,0,0,0,0
23.5,0,0,1,0,0
153.51,0,1,0,0,0
161.7,1,0,0,0,0
197.24,1,0,0,0,0
336.73,0,0,0,0,0
339.5,0,1,0,0,0
266.38,1,0,0,0,0
329.9,0,0,0,1,0
281.93,0,0,1,0,0
97.46,0,0,0,1,0
78.71,1,0,0,0,0
314.71,0,0,1,0,0
343.93,0,0,0,1,0
290.38,0,0,1,0,0
101.25,0,1,0,0,0
51.05,0,0,0,0,1
38.13,0,0,0,1,0
243.33,0,0,0,0,1
264.69,0,0,0,1,0
319.67,1,0,0,0,0
243.7,0,1,0,0,0
279.61,0,1,0,0,0
68.22,0,0,0,1,0
48.83,0,0,0,0,0
37.42,0,0,0,1,0
87.47,0,0,1,0,0
293.59,0,0,0,0,0
172.54,0,1,0,0,0
49.75,0,1,0,0,0
75.22,0,0,1,0,0
282.77,0,0,1,0,0
321.41,0,0,1,0,0
77.96,0,0,1,0,0
139.65,0,0,1,0,0
274.75,0,1,0,0,0
303.23,0,1,0,0,0
176.97,1,0,0,0,0
114.55,0,0,1,0,0
331.46,0,0,1,0,0
224.75,1,0,0,0,0
11.08,0,0,0,0,1
191.03,1,0,0,0,0
44.43,0,0,1,0,0
240.45,1,0,0,0,0
88.13,0,0,1,0,0
85.06,0,0,0,1,0
190.34,0,1,0,0,0
175.59,0,1,0,0,0
153.68,1,0,0,0,0
325.07,0,0,0,1,0
296.16,0,0,0,1,0
270.96,0,1,0,0,0
108.77,1,0,0,0,0
189.14,0,1,0,0,0
315.87,0,0,0,1,0
253.81,0,1,0,0,0
309.34,0,0,0,0,1
193.07,0,0,1,0,0
61.39,0,0,0,1,0
149.36,0,0,1,0,0
171.53,0,0,0,0,0
119.76,0,1,0,0,0
115.39,0,0,1,0,0
348.49,0,0,1,0,0
270.42,0,0,1,0,0
75.92,0,1,0,0,0
115.78,0,0,1,0,0
318.5,0,0,0,0,1
301.85,0,0,1,0,0
67.08,0,0,0,0,1
129.83,0,0,1,0,0
108.74,1,0,0,0,0
272.53,1,0,0,0,0
236.76,1,0,0,0,0
307.72,0,0,1,0,0
295.07,0,1,0,0,0
316.66,0,0,0,1,0
108.61,0,1,0,0,0
127.93,0,0,1,0,0
100.28,0,0,1,0,0
320.16,0,0,1,0,0
311.5,0,0,0,1,0
258.07,0,1,0,0,0
289.39,0,1,0,0,0
91.17,0,0,0,1,0
168.26,0,1,0,0,0
61.11,0,0,0,1,0
152.44,0,1,0,0,0
112.94,1,0,0,0,0
60.87,0,0,0,1,0
144.01,0,1,0,0,0
167.55,1,0,0,0,0
142.79,0,1,0,0,0
49.15,0,0,0,1,0
82.61,0,0,0,1,0
181.98,1,0,0,0,0
83.22,0,0,0,1,0
175.76,0,0,0,0,0
112.22,0,0,0,1,0
255.97,0,1,0,0,0
252.6,1,0,0,0,0
146.5,0,1,0,0,0
166.18,0,1,0,0,0
90.08,0,0,0,0,1
148.85,1,0,0,0,0
91.61,0,0,0,1,0
168.33,1,0,0,0,0
143.62,0,0,1,0,0
168.62,1,0,0,0,0
176.73,1,0,0,0,0
260.68,1,0,0,0,0
231.76,0,1,0,0,0
221.85,0,1,0,0,0
134.87,0,0,1,0,0
42.63,0,0,0,0,1
92.75,0,1,0,0,0
90.98,0,1,0,0,0
117.67,0,0,0,1,0
230.55,0,0,1,0,0
239.46,1,0,0,0,0
146.03,1,0,0,0,0
99.23,0,0,1,0,0
69.23,0,0,0,0,0
56.54,0,0,1,0,0
244.69,0,1,0,0,0
148.83,0,0,1,0,0
136.48,1,0,0,0,0
31.17,0,0,0,0,1
170.57,0,1,0,0,0
345.13,0,0,1,0,0
287.19,0,0,1,0,0
226.45,0,0,1,0,0
126.78,1,0,0,0,0
69.8,0,1,0,0,0
350.28,0,0,1,0,0
297.24,0,0,1,0,0
185.76,1,0,0,0,0
121.79,0,0,1,0,0
130.38,0,1,0,0,0
31.57,0,0,0,1,0
24.51,0,0,0,0,1
250.65,1,0,0,0,0
34.25,0,0,0,0,1
133.64,0,0,1,0,0
76.9,0,0,0,1,0
121.51,1,0,0,0,0
101.97,0,1,0,0,0
17.23,0,0,0,0,1
249.49,0,1,0,0,0
267.14,1,0,0,0,0
109.88,0,1,0,0,0
46.98,0,0,0,1,0
102.14,0,0,0,0,0
146.15,1,0,0,0,0
236.69,1,0,0,0,0
2.22,0,0,1,0,0
189.71,0,0,1,0,0
264.96,0,0,0,1,0
197.4,0,0,1,0,0
283.93,0,0,0,0,1
211.3,1,0,0,0,0
25.49,0,0,0,1,0
31.9,0,0,0,1,0
47.31,0,0,0,0,1
121.56,0,1,0,0,0
168.49,1,0,0,0,0
215.79,0,1,0,0,0
245.67,0,1,0,0,0
335.03,0,0,0,0,0
135.29,0,1,0,0,0
24.15,0,0,0,0,1
79.98,0,0,1,0,0
68.19,0,0,0,1,0
342.64,0,1,0,0,0
257.59,0,1,0,0,0
278.57,0,0,1,0,0
327.25,1,0,0,0,0
272.13,1,0,0,0,0
271.44,0,0,0,0,1
49.11,0,1,0,0,0
134.42,1,0,0,0,0
260.48,0,0,1,0,0
324.82,0,0,0,1,0
32.85,0,0,0,0,0
163.54,0,1,0,0,0
5.46,0,0,1,0,0
124.85,0,0,1,0,0
33.65,0,0,0,0,1
137.63,1,0,0,0,0
231.6,1,0,0,0,0
323.42,0,1,0,0,0
262.91,1,0,0,0,0
201.12,1,0,0,0,0
307.94,0,0,1,0,0
98.75,0,0,1,0,0
156.62,0,1,0,0,0
115.81,0,1,0,0,0
68.14,0,0,1,0,0
114.63,1,0,0,0,0
98.29,1,0,0,0,0
92.52,0,0,1,0,0
170.84,1,0,0,0,0
82.44,0,0,1,0,0
112.42,1,0,0,0,0
279.44,0,1,0,0,0
229.6,0,1,0,0,0
309.28,0,0,1,0,0
109.36,0,0,1,0,0
290.75,0,0,0,1,0
219.95,1,0,0,0,0
225.06,1,0,0,0,0
308.5,0,0,0,0,1
318.73,0,0,0,1,0
278.56,0,1,0,0,0
114.91,0,1,0,0,0
252.42,1,0,0,0,0
154.71,1,0,0,0,0
72.48,0,0,0,0,0
103.86,0,0,0,1,0
74.02,0,0,1,0,0
208.43,0,1,0,0,0
356.87,0,0,0,0,1
234.57,0,0,1,0,0
285.93,0,0,0,0,1
137.18,1,0,0,0,0
344.71,0,0,0,0,1
290.93,0,0,1,0,0
318.64,0,0,0,0,1
218.23,1,0,0,0,0
243.64,1,0,0,0,0
244.53,0,0,1,0,0
298.91,0,0,0,0,1
243.2,1,0,0,0,0
127.32,1,0,0,0,0
47.7,0,0,0,0,0
108.7,0,0,0,1,0
95.61,0,0,1,0,0
262.46,0,0,1,0,0
267.51,0,1,0,0,0
327.16,0,0,1,0,0
222.19,0,0,0,1,0
248.37,0,0,1,0,0
243.34,1,0,0,0,0
0.23,0,0,0,0,1
236.14,0,1,0,0,0
242.29,0,1,0,0,0
246.79,1,0,0,0,0
261.79,0,1,0,0,0
150.62,0,1,0,0,0
63.48,0,0,0,0,0
13.39,0,0,0,1,0
94.1,0,0,1,0,0
138.56,1,0,0,0,0
156.76,0,0,1,0,0
13.42,0,0,1,0,0
102.08,1,0,0,0,0
162.87,1,0,0,0,0
50.41,0,0,0,1,0
358.92,0,0,0,0,1
39.85,0,0,0,1,0
177.9,0,1,0,0,0
208.23,0,1,0,0,0
345.27,0,0,1,0,0
321.26,0,0,0,0,1
78.61,0,0,0,1,0
58.38,0,0,0,1,0
81.27,0,0,0,0,1
245.44,1,0,0,0,0
251.14,0,0,1,0,0
275.23,1,0,0,0,0
99.14,0,0,0,1,0
273.98,1,0,0,0,0
306.65,0,0,0,0,1
235.09,0,1,0,0,0
308.52,1,0,0,0,0
137.09,0,1,0,0,0
64.55,0,0,0,1,0
79.87,0,1,0,0,0
43.03,0,0,0,0,1
78.22,0,0,0,1,0
291.6,0,0,0,1,0
268.25,0,0,0,1,0
320.04,0,0,0,1,0
89.67,0,1,0,0,0
106.48,0,1,0,0,0
99.42,0,0,0,1,0
251.49,0,0,0,1,0
89.96,0,0,0,0,1
137.02,0,1,0,0,0
115.89,0,0,0,1,0
81.75,0,0,1,0,0
33.9,0,0,1,0,0
272.38,0,0,1,0,0
247.85,0,0,1,0,0
251.75,0,0,1,0,0
253.09,0,0,1,0,0
294.19,0,0,1,0,0
325.76,0,0,0,1,0
66.49,0,0,1,0,0
61.63,0,0,0,0,0
34.92,0,0,1,0,0
64.31,0,0,1,0,0
312.99,0,0,1,0,0
333.89,0,1,0,0,0
335.36,0,0,0,1,0
95.71,0,1,0,0,0
151.58,0,1,0,0,0
60.26,0,0,0,0,1
163.99,0,1,0,0,0
83.03,0,0,0,1,0
139.99,0,1,0,0,0
152.26,1,0,0,0,0
78.97,1,0,0,0,0
78.84,0,1,0,0,0
43.06,0,0,1,0,0
154.31,1,0,0,0,0
107.92,0,0,1,0,0
312.62,0,0,1,0,0
324.08,1,0,0,0,0
327.42,0,0,0,1,0
18.93,0,0,0,0,1
293.56,1,0,0,0,0
333.3,0,0,0,0,0
15.41,0,0,0,1,0
254.56,1,0,0,0,0
264.05,0,1,0,0,0
135.77,1,0,0,0,0
132.47,0,1,0,0,0
4.44,0,0,0,1,0
277.82,0,0,0,0,1
288.76,0,0,0,1,0
316.01,0,0,0,1,0
313.22,0,0,0,0,1
119.72,0,0,0,1,0
142.36,1,0,0,0,0
238.3,1,0,0,0,0
86.08,0,0,0,0,1
312.31,0,0,1,0,0
283.32,0,0,1,0,0
293.91,0,1,0,0,0
276.66,1,0,0,0,0
323.8,0,0,0,1,0
134.0,0,0,1,0,0
259.73,0,1,0,0,0
110.3,0,0,0,0,1
198.57,0,0,0,0,0
76.99,0,0,0,0,1
271.29,0,1,0,0,0
311.6,0,0,1,0,0
322.55,0,0,0,1,0
315.88,0,0,0,0,1
221.28,0,1,0,0,0
267.26,1,0,0,0,0
259.53,1,0,0,0,0
150.49,0,0,1,0,0
67.93,0,0,0,1,0
171.2,0,1,0,0,0
132.15,0,1,0,0,0
67.78,0,0,1,0,0
213.71,0,1,0,0,0
105.12,0,0,1,0,0
349.98,0,0,1,0,0
333.76,0,0,1,0,0
277.09,0,1,0,0,0
126.02,0,1,0,0,0
62.22,0,0,1,0,0
304.12,0,0,1,0,0
112.26,0,1,0,0,0
115.89,1,0,0,0,0
24.18,0,0,0,1,0
290.74,0,0,1,0,0
258.55,0,1,0,0,0
299.61,0,0,0,1,0
237.98,1,0,0,0,0
84.91,0,0,0,0,1
176.88,1,0,0,0,0
47.48,0,0,0,1,0
356.11,0,0,1,0,0
299.12,0,0,1,0,0
263.6,0,0,1,0,0
356.49,0,0,0,0,1
128.18,1,0,0,0,0
111.48,0,0,0,1,0
169.69,0,1,0,0,0
154.84,1,0,0,0,0
174.73,0,1,0,0,0
116.48,0,1,0,0,0
171.8,1,0,0,0,0
327.09,0,0,0,1,0
304.12,0,0,0,0,1
247.84,1,0,0,0,0
62.74,0,1,0,0,0
238.51,0,0,0,1,0
227.66,0,0,1,0,0
168.35,0,1,0,0,0
323.57,0,1,0,0,0
137.85,0,0,1,0,0
170.65,0,1,0,0,0
165.95,0,1,0,0,0
131.59,1,0,0,0,0
47.72,0,0,0,1,0
18.99,0,0,0,1,0
259.19,1,0,0,0,0
329.88,0,0,1,0,0
145.1,0,0,0,0,0
148.16,1,0,0,0,0
42.98,0,0,1,0,0
356.02,0,0,0,0,0
206.76,1,0,0,0,0
312.98,0,0,1,0,0
94.31,0,0,1,0,0
208.7,1,0,0,0,0
285.92,0,0,1,0,0
232.55,1,0,0,0,0
119.55,0,1,0,0,0
49.26,0,0,0,1,0
237.59,0,1,0,0,0
358.98,0,0,0,1,0
43.05,0,0,0,1,0
313.82,0,0,0,1,0
307.03,0,0,1,0,0
167.33,0,1,0,0,0
318.97,0,0,0,0,1
329.29,0,0,0,1,0
5.39,0,0,0,0,0
108.44,1,0,0,0,0
100.72,0,0,1,0,0
150.01,0,0,1,0,0
155.33,1,0,0,0,0
9.07,0,0,1,0,0
42.62,0,0,1,0,0
354.36,0,0,1,0,0
301.86,0,0,0,1,0
352.01,0,0,0,1,0
209.72,1,0,0,0,0
226.75,0,0,0,0,0
271.8,1,0,0,0,0
26.52,0,0,0,0,1
196.97,1,0,0,0,0
349.35,0,0,1,0,0
290.59,0,0,1,0,0
283.35,0,0,1,0,0
300.71,0,0,1,0,0
274.82,0,0,1,0,0
347.72,0,0,0,0,1
264.48,0,1,0,0,0
301.49,0,0,0,1,0
251.01,1,0,0,0,0
324.88,0,0,0,0,1
64.59,0,0,0,1,0
92.52,1,0,0,0,0
236.04,1,0,0,0,0
189.99,0,1,0,0,0
98.36,0,0,0,0,1
181.6,1,0,0,0,0
154.82,0,1,0,0,0
328.41,0,0,0,1,0
126.1,1,0,0,0,0
295.71,0,1,0,0,0
250.74,0,1,0,0,0
317.97,0,0,1,0,0
99.35,0,0,0,0,1
126.99,0,1,0,0,0
112.42,0,1,0,0,0
138.12,0,0,1,0,0
101.6,0,1,0,0,0
270.6,0,0,1,0,0
301.54,0,0,1,0,0
285.63,0,0,0,1,0
224.14,0,0,1,0,0
346.47,1,0,0,0,0
178.79,1,0,0,0,0
129.88,0,0,0,0,1
7.96,0,0,0,1,0
87.16,0,0,1,0,0
125.14,0,0,1,0,0
164.8,1,0,0,0,0
151.21,0,1,0,0,0
58.5,0,0,0,1,0
341.7,0,0,0,0,1
309.07,0,0,0,0,1
297.62,0,1,0,0,0
80.81,0,1,0,0,0
149.42,0,1,0,0,0
326.3,0,0,0,1,0
243.32,0,0,1,0,0
135.58,1,0,0,0,0
116.3,0,1,0,0,0
314.0,0,0,1,0,0
244.98,0,1,0,0,0
111.69,0,0,1,0,0
103.41,0,0,0,1,0
153.96,0,0,1,0,0
