x_0,y_0,vel_0,accel_0,orientation_0,dist_qb_0,receiver_type_0_WR,receiver_type_0_TE,receiver_type_0_QB,receiver_type_0_RB,receiver_type_0_FB,defensor_x_0_0,defensor_y_0_0,defensor_vel_0_0,defensor_accel_0_0,defensor_orientation_0_0,defensor_x_0_1,defensor_y_0_1,defensor_vel_0_1,defensor_accel_0_1,defensor_orientation_0_1,x_1,y_1,vel_1,accel_1,orientation_1,dist_qb_1,receiver_type_1_WR,receiver_type_1_TE,receiver_type_1_QB,receiver_type_1_RB,receiver_type_1_FB,defensor_x_1_0,defensor_y_1_0,defensor_vel_1_0,defensor_accel_1_0,defensor_orientation_1_0,defensor_x_1_1,defensor_y_1_1,defensor_vel_1_1,defensor_accel_1_1,defensor_orientation_1_1,x_2,y_2,vel_2,accel_2,orientation_2,dist_qb_2,receiver_type_2_WR,receiver_type_2_TE,receiver_type_2_QB,receiver_type_2_RB,receiver_type_2_FB,defensor_x_2_0,defensor_y_2_0,defensor_vel_2_0,defensor_accel_2_0,defensor_orientation_2_0,defensor_x_2_1,defensor_y_2_1,defensor_vel_2_1,defensor_accel_2_1,defensor_orientation_2_1,x_3,y_3,vel_3,accel_3,orientation_3,dist_qb_3,receiver_type_3_WR,receiver_type_3_TE,receiver_type_3_QB,receiver_type_3_RB,receiver_type_3_FB,defensor_x_3_0,defensor_y_3_0,defensor_vel_3_0,defensor_accel_3_0,defensor_orientation_3_0,defensor_x_3_1,defensor_y_3_1,defensor_vel_3_1,defensor_accel_3_1,defensor_orientation_3_1,receiver_type_4_WR,receiver_type_4_TE,receiver_type_4_QB,receiver_type_4_RB,receiver_type_4_FB,qb_x,qb_y,qb_orientation,qb_speed,qb_direction,qb_accel,amount_of_players_causing_pressure_on_qb,result
72.11,9.51,2.9,2.52,96.16,22.00632863519038,1,0,0,0,0,72.88,10.05,0.07,0.28,272.32,72.88,10.05,0.07,0.23,274.51,73.48,17.8,5.9,3.32,116.07,15.082576039921033,1,0,0,0,0,74.86,17.6,3.84,0.64,205.16,74.9,17.98,3.85,0.71,205.16,72.4,34.58,3.18,2.59,71.4,8.334056635276731,0,1,0,0,0,71.19,34.6,1.1,0.55,64.64,71.08,34.56,1.16,0.51,63.94,71.99,37.61,4.38,3.46,132.4,9.910807232511385,1,0,0,0,0,72.1,35.98,2.76,1.25,73.68,71.81,35.96,2.82,1.51,73.68,0,0,0,0,0,65.19,30.4,165.26,2.47,278.48,1.47,1.0,1
72.37,9.34,3.27,2.62,97.87,22.363848058865003,1,0,0,0,0,72.8,8.86,0.44,0.98,40.23,72.84,8.89,0.53,0.96,41.78,74.07,17.62,6.31,2.76,113.65,15.736444960663757,1,0,0,0,0,74.86,17.6,3.84,0.64,205.16,74.83,17.21,3.8,0.68,205.16,72.73,34.52,3.49,2.27,66.89,8.807275401621093,0,1,0,0,0,72.66,36.01,2.65,1.25,76.52,72.38,35.99,2.73,1.15,74.58,72.2,37.2,4.74,3.52,138.23,9.934072679420057,1,0,0,0,0,72.38,35.99,2.73,1.15,74.58,72.1,35.98,2.76,1.25,73.68,0,0,0,0,0,64.93,30.43,168.66,2.62,277.49,1.28,1.0,1
72.66,9.15,3.6,2.43,97.87,22.758651102383023,1,0,0,0,0,72.84,8.89,0.53,0.96,41.78,72.88,8.92,0.62,0.91,43.61,74.7,17.44,6.64,2.21,113.02,16.435367352146407,1,0,0,0,0,74.86,17.6,3.84,0.64,205.16,74.83,17.21,3.8,0.68,205.16,73.1,34.45,3.9,2.57,76.62,9.326574934025883,0,1,0,0,0,72.92,36.02,2.56,1.29,78.49,73.18,36.04,2.47,1.14,82.0,72.39,36.74,5.14,3.87,142.69,9.951723468826895,1,0,0,0,0,72.38,35.99,2.73,1.15,74.58,72.66,36.01,2.65,1.25,76.52,0,0,0,0,0,64.67,30.46,171.29,2.73,276.55,0.98,1.0,1
72.98,8.94,3.93,2.27,95.32,23.198935320397787,1,0,0,0,0,72.94,8.95,0.7,0.76,44.96,73.0,8.99,0.76,0.57,44.96,75.36,17.26,6.93,1.8,118.75,17.18644233109342,1,0,0,0,0,74.83,17.21,3.8,0.68,205.16,74.86,17.6,3.84,0.64,205.16,73.5,34.38,4.2,2.17,81.7,9.905765997639962,0,1,0,0,0,73.42,36.04,2.4,1.16,82.0,73.66,36.05,2.29,1.3,82.0,72.57,36.24,5.48,3.82,148.94,9.998744921238861,1,0,0,0,0,72.66,36.01,2.65,1.25,76.52,72.38,35.99,2.73,1.15,74.58,0,0,0,0,0,64.39,30.49,172.3,2.81,275.51,0.76,1.0,1
73.33,8.72,4.21,2.0,99.38,23.66956695843842,1,0,0,0,0,73.26,8.9,1.61,2.92,3.32,73.15,8.82,1.32,2.71,10.26,76.05,17.07,7.19,1.56,118.75,17.985163329811602,1,0,0,0,0,74.83,17.21,3.8,0.68,205.16,74.8,16.83,3.78,0.7,206.81,73.93,34.29,4.52,1.99,89.34,10.518806966571834,0,1,0,0,0,75.66,34.25,3.49,1.19,340.0,75.64,33.9,3.6,1.05,340.85,72.73,35.7,5.82,3.49,157.57,10.056679372437012,1,0,0,0,0,72.66,36.01,2.65,1.25,76.52,72.92,36.02,2.56,1.29,78.49,0,0,0,0,0,64.11,30.52,173.35,2.85,274.64,0.52,1.0,1
73.69,8.49,4.33,1.35,92.47,24.154132151662992,1,0,0,0,0,73.26,8.9,1.61,2.92,3.32,73.4,9.01,1.95,3.1,353.61,76.76,16.88,7.43,1.32,116.69,18.809053671038324,1,0,0,0,0,77.16,18.29,0.87,1.13,327.84,77.24,18.27,0.82,0.98,327.84,74.38,34.19,4.81,2.32,98.5,11.16355678088305,0,1,0,0,0,75.66,34.25,3.49,1.19,340.0,75.64,33.9,3.6,1.05,340.85,72.87,35.11,6.18,3.37,152.22,10.129486660240987,1,0,0,0,0,72.92,36.02,2.56,1.29,78.49,72.66,36.01,2.65,1.25,76.52,0,0,0,0,0,63.83,30.54,176.54,2.86,274.01,0.34,1.0,1
74.05,8.26,4.38,0.59,87.99,24.648326515201795,1,0,0,0,0,73.4,9.01,1.95,3.1,353.61,73.57,9.14,2.29,3.17,347.34,77.49,16.69,7.61,0.88,116.69,19.664701879255627,1,0,0,0,0,78.01,17.91,0.04,0.76,276.79,78.01,17.91,0.05,0.72,275.63,74.85,34.07,5.0,2.13,111.89,11.832586361400452,0,1,0,0,0,75.64,33.9,3.6,1.05,340.85,75.66,34.25,3.49,1.19,340.0,73.0,34.49,6.5,2.85,156.77,10.2346177261293,1,0,0,0,0,72.92,36.02,2.56,1.29,78.49,72.66,36.01,2.65,1.25,76.52,0,0,0,0,0,63.55,30.56,178.3,2.79,273.7,0.51,1.0,1
74.42,8.03,4.33,0.2,82.75,25.13818808108492,1,0,0,0,0,74.87,9.09,3.26,1.63,243.32,74.56,9.18,3.09,1.96,249.04,78.24,16.49,7.75,0.53,125.14,20.536525996380202,1,0,0,0,0,79.0,16.01,8.76,3.51,227.8,79.05,17.31,2.81,2.94,278.38,73.12,33.83,6.82,2.47,160.18,10.356471406806476,1,0,0,0,0,72.82,32.57,0.33,0.37,251.23,72.85,32.56,0.3,0.35,251.23,75.34,33.91,5.14,2.26,129.61,12.504323252379557,0,1,0,0,0,75.64,33.9,3.6,1.05,340.85,75.66,34.25,3.49,1.19,340.0,0,0,0,0,0,63.29,30.57,180.38,2.55,273.4,1.26,1.0,1
74.76,7.79,4.14,1.22,72.42,25.635881104420815,1,0,0,0,0,75.21,8.99,3.55,1.52,235.31,74.87,9.09,3.26,1.63,243.32,78.99,16.28,7.82,0.52,126.19,21.42845304729205,1,0,0,0,0,79.0,16.01,8.76,3.51,227.8,79.38,16.8,8.91,3.45,224.92,73.24,33.15,7.07,1.85,168.53,10.516349176401471,1,0,0,0,0,72.91,32.54,0.14,0.26,259.57,72.92,32.53,0.17,0.25,258.12,75.81,33.72,5.14,2.23,145.32,13.147996045025268,0,1,0,0,0,75.64,33.9,3.6,1.05,340.85,75.62,33.53,3.69,0.88,341.59,0,0,0,0,0,63.04,30.59,182.37,2.38,273.12,1.58,1.0,1
75.08,7.56,3.86,2.12,66.38,26.098835223051623,1,0,0,0,0,75.57,8.89,3.74,1.24,227.8,75.21,8.99,3.55,1.52,235.31,79.74,16.04,7.85,1.07,127.19,22.322186272854186,1,0,0,0,0,80.13,16.44,4.02,1.89,282.35,79.82,16.68,3.77,2.32,279.4,73.35,32.42,7.41,1.72,163.19,10.686126519932275,1,0,0,0,0,73.32,32.38,0.37,0.77,267.94,73.29,32.4,0.41,0.68,267.94,76.28,33.5,5.14,2.35,156.11,13.768863424407986,0,1,0,0,0,75.62,33.53,3.69,0.88,341.59,76.55,32.85,6.51,3.19,59.64,0,0,0,0,0,62.82,30.6,181.79,2.13,272.68,1.98,1.0,1
75.36,7.33,3.4,3.43,62.21,26.53801047554244,1,0,0,0,0,75.94,8.79,3.88,0.99,218.21,75.57,8.89,3.74,1.24,227.8,80.49,15.78,7.97,1.69,124.83,23.22209723517667,1,0,0,0,0,80.83,15.93,4.51,1.62,299.36,80.46,16.19,4.26,1.64,287.22,73.47,31.68,7.63,1.34,163.98,10.90263270957983,1,0,0,0,0,73.27,31.95,0.37,0.64,249.17,73.18,31.85,0.56,0.4,249.61,76.72,33.25,5.13,2.47,166.18,14.345020041812422,0,1,0,0,0,77.1,33.21,6.66,2.67,60.71,76.55,32.85,6.51,3.19,59.64,0,0,0,0,0,62.62,30.61,181.2,1.83,271.62,2.32,1.0,1
75.59,7.12,2.99,3.85,52.04,26.89692919275359,1,0,0,0,0,75.94,8.79,3.88,0.99,218.21,76.32,8.68,4.0,0.72,212.08,81.24,15.48,8.0,2.59,134.67,24.10243348709835,1,0,0,0,0,81.21,15.67,4.71,1.52,304.91,81.62,15.43,4.83,1.41,314.11,73.59,30.91,7.85,1.18,170.6,11.124320203949546,1,0,0,0,0,74.32,30.74,5.91,4.35,45.57,74.0,30.25,5.83,4.54,43.4,77.16,32.97,5.08,2.39,178.47,14.879952956914881,0,1,0,0,0,77.1,33.21,6.66,2.67,60.71,76.55,32.85,6.51,3.19,59.64,0,0,0,0,0,62.47,30.6,182.73,1.46,266.58,2.74,1.0,1
75.77,6.92,2.53,4.22,40.01,27.205890906198967,1,0,0,0,0,76.32,8.68,4.0,0.72,212.08,75.94,8.79,3.88,0.99,218.21,81.96,15.14,8.01,3.15,137.69,24.96673787261763,1,0,0,0,0,82.05,15.18,5.0,1.43,329.27,81.62,15.43,4.83,1.41,314.11,73.71,30.12,8.07,0.91,171.93,11.379301384531468,1,0,0,0,0,74.0,30.25,5.83,4.54,43.4,73.73,29.74,5.72,4.32,38.71,77.57,32.69,4.97,2.28,190.31,15.3754674725681,0,1,0,0,0,77.97,33.23,7.16,1.65,173.5,77.1,33.21,6.66,2.67,60.71,0,0,0,0,0,62.34,30.58,183.84,1.14,259.9,2.95,1.0,1
75.91,6.73,2.18,4.12,32.42,27.458841927510342,1,0,0,0,0,76.32,8.68,4.0,0.72,212.08,76.72,8.57,4.09,0.43,207.04,82.68,14.75,8.07,3.4,138.67,25.826825201716147,1,0,0,0,0,82.5,14.94,5.08,1.2,345.6,82.96,14.7,5.16,0.94,359.01,73.83,29.31,8.21,0.62,164.88,11.64620109735359,1,0,0,0,0,73.61,29.14,1.49,0.84,219.77,73.55,29.27,1.36,0.8,221.56,77.97,32.4,4.88,2.07,199.7,15.828483818736396,0,1,0,0,0,78.32,32.59,7.38,1.21,173.5,77.97,33.23,7.16,1.65,173.5,0,0,0,0,0,62.25,30.55,185.29,0.87,243.81,3.11,1.0,1
76.01,6.55,1.9,3.66,23.01,27.651309191428897,1,0,0,0,0,76.72,8.57,4.09,0.43,207.04,76.32,8.68,4.0,0.72,212.08,83.37,14.32,8.18,3.73,135.45,26.653044854200058,1,0,0,0,0,83.42,14.46,5.27,0.42,341.66,83.89,14.22,5.31,0.1,109.71,73.94,28.49,8.34,0.51,168.96,11.920679510833263,1,0,0,0,0,73.91,28.53,1.79,0.27,211.37,73.99,28.36,1.93,0.41,209.46,78.35,32.09,4.8,1.82,209.84,16.238032516287184,0,1,0,0,0,78.68,31.93,7.51,0.75,170.2,78.32,32.59,7.38,1.21,173.5,0,0,0,0,0,62.19,30.5,184.11,0.67,211.87,3.38,1.0,1
76.08,6.38,1.7,3.02,18.71,27.78657229670475,1,0,0,0,0,76.72,8.57,4.09,0.43,207.04,76.32,8.68,4.0,0.72,212.08,84.06,13.84,8.32,3.71,142.61,27.46442062014053,1,0,0,0,0,84.36,13.95,5.4,0.78,151.55,83.89,14.22,5.31,0.1,109.71,74.05,27.65,8.5,0.68,179.06,12.193481865324603,1,0,0,0,0,74.28,27.8,2.22,0.51,203.65,74.37,27.57,2.42,0.92,200.45,78.72,31.79,4.69,1.56,219.02,16.595002259716626,0,1,0,0,0,78.68,31.93,7.51,0.75,170.2,79.15,31.97,1.11,0.31,257.15,0,0,0,0,0,62.18,30.44,181.18,0.67,174.81,3.47,1.0,1
76.15,6.22,1.66,1.95,20.66,27.889514158550703,1,0,0,0,0,76.72,8.57,4.09,0.43,207.04,77.1,8.46,4.01,0.49,202.19,84.72,13.33,8.37,3.5,139.87,28.24025495635618,1,0,0,0,0,84.85,13.65,5.75,1.44,193.36,85.33,13.33,5.84,1.72,182.12,74.14,26.8,8.57,0.75,185.3,12.46228309741036,1,0,0,0,0,74.56,27.08,2.76,1.12,197.35,74.65,26.8,2.93,1.13,196.18,79.07,31.5,4.52,1.62,227.65,16.907802932374143,0,1,0,0,0,79.04,31.27,7.6,0.21,167.34,79.15,31.97,1.11,0.31,257.15,0,0,0,0,0,62.2,30.37,177.87,0.9,154.25,3.31,1.0,1
76.21,6.06,1.63,1.05,22.59,27.95015026793237,1,0,0,0,0,78.59,6.56,1.87,1.82,214.94,78.63,6.38,1.88,2.09,214.17,85.36,12.79,8.35,3.23,136.25,28.974300681811116,1,0,0,0,0,85.82,12.99,6.02,1.69,168.66,85.33,13.33,5.84,1.72,182.12,74.22,25.93,8.68,1.04,192.29,12.726511698026291,1,0,0,0,0,74.83,26.2,3.31,1.47,194.95,74.91,25.86,3.47,1.31,196.95,79.41,31.22,4.28,2.02,236.66,17.17574161426516,0,1,0,0,0,79.04,31.27,7.6,0.21,167.34,79.4,30.59,7.65,0.65,168.17,0,0,0,0,0,62.26,30.28,176.38,1.22,141.0,3.19,1.0,1
76.29,5.91,1.65,0.57,24.52,27.9748547806776,1,0,0,0,0,78.63,6.38,1.88,2.09,214.17,78.59,6.56,1.87,1.82,214.94,85.97,12.22,8.36,2.99,127.26,29.658634493179218,1,0,0,0,0,86.29,12.6,6.17,2.14,171.37,85.82,12.99,6.02,1.69,168.66,74.29,25.07,8.65,1.23,201.89,12.97439401282388,1,0,0,0,0,73.97,24.8,4.45,4.91,305.83,73.71,25.18,4.67,4.51,311.78,79.73,30.96,3.95,2.83,247.51,17.38795560150762,0,1,0,0,0,79.4,30.59,7.65,0.65,168.17,79.04,31.27,7.6,0.21,167.34,0,0,0,0,0,62.36,30.17,175.16,1.6,132.62,3.24,1.0,1
76.39,5.76,1.77,1.52,25.55,27.994642344563,1,0,0,0,0,78.63,6.38,1.88,2.09,214.17,78.59,6.56,1.87,1.82,214.94,86.57,11.64,8.3,2.71,120.79,30.317367959636595,1,0,0,0,0,86.77,12.19,6.47,2.34,182.49,87.26,11.74,6.74,2.45,180.4,74.35,24.19,8.69,1.34,211.64,13.233159108844712,1,0,0,0,0,74.57,24.2,4.12,5.2,289.36,74.25,24.46,4.25,4.79,295.56,80.04,30.73,3.61,3.45,253.26,17.56278451726833,0,1,0,0,0,80.23,30.35,5.63,0.62,253.83,80.48,30.85,5.54,1.0,255.15,0,0,0,0,0,62.49,30.06,171.07,1.9,128.02,2.94,1.0,1
76.51,5.62,1.96,2.05,28.16,28.000866058034706,1,0,0,0,0,78.63,6.38,1.88,2.09,214.17,78.69,6.2,1.94,2.18,213.49,87.14,11.03,8.25,2.43,115.12,30.947156573746806,1,0,0,0,0,87.76,11.26,7.03,2.37,182.01,87.26,11.74,6.74,2.45,180.4,74.39,23.32,8.65,1.48,213.19,13.482748236172032,1,0,0,0,0,75.23,23.22,4.06,0.77,200.09,74.92,24.0,3.9,5.46,282.97,80.33,30.55,3.16,4.43,263.24,17.69017806580816,0,1,0,0,0,80.23,30.35,5.63,0.62,253.83,80.48,30.85,5.54,1.0,255.15,0,0,0,0,0,62.65,29.95,166.42,2.14,122.96,2.6,1.0,1
76.66,5.47,2.16,2.19,29.27,27.997314156897264,1,0,0,0,0,78.69,6.2,1.94,2.18,213.49,78.63,6.38,1.88,2.09,214.17,87.7,10.42,8.18,2.16,105.27,31.524176436506632,1,0,0,0,0,88.27,10.76,7.25,1.89,184.84,87.76,11.26,7.03,2.37,182.01,74.41,22.46,8.59,1.65,213.77,13.701072950685282,1,0,0,0,0,75.25,22.4,4.15,0.72,203.51,75.24,22.81,4.09,0.72,202.14,80.6,30.43,2.78,4.95,276.92,17.750143661390457,0,1,0,0,0,80.23,30.35,5.63,0.62,253.83,80.48,30.85,5.54,1.0,255.15,0,0,0,0,0,62.86,29.83,161.95,2.49,117.94,2.69,1.0,1
76.84,5.33,2.37,2.09,30.77,27.993922554726055,1,0,0,0,0,78.69,6.2,1.94,2.18,213.49,78.78,6.01,2.14,2.23,214.43,88.26,9.82,8.16,1.56,86.29,32.078584756812454,1,0,0,0,0,88.78,10.24,7.4,1.21,188.02,88.72,9.09,6.93,0.51,42.97,74.43,21.6,8.48,1.91,216.3,13.939271860466746,1,0,0,0,0,75.21,21.57,4.09,1.09,204.01,75.18,21.16,4.07,1.13,204.01,80.85,30.38,2.49,5.13,286.04,17.762266184245743,0,1,0,0,0,80.48,30.85,5.54,1.0,255.15,80.23,30.35,5.63,0.62,253.83,0,0,0,0,0,63.1,29.72,151.44,2.85,111.6,3.0,1.0,1
77.04,5.17,2.57,1.83,32.85,28.002232053891706,1,0,0,0,0,78.78,6.01,2.14,2.23,214.43,78.69,6.2,1.94,2.18,213.49,88.82,9.22,8.05,1.56,78.07,32.601302121234355,1,0,0,0,0,88.72,9.09,6.93,0.51,42.97,89.36,9.38,7.04,0.45,44.96,74.43,20.76,8.36,2.05,219.73,14.155606663085836,1,0,0,0,0,75.15,20.76,4.06,0.84,206.22,75.11,20.35,4.02,0.73,207.79,81.1,30.39,2.37,5.3,298.7,17.726731227160855,0,1,0,0,0,80.48,30.85,5.54,1.0,255.15,80.23,30.35,5.63,0.62,253.83,0,0,0,0,0,63.39,29.62,143.74,3.15,106.16,3.12,1.0,1
